FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q1,20.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q2,20.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q3,20.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2025-Q4,19.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q1,9.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q2,9.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q3,10.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2016-Q4,10.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2017-Q1,10.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2017-Q2,10.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2017-Q3,10.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2017-Q4,11.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2018-Q1,11.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2018-Q2,11.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2018-Q3,11.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2018-Q4,11.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2019-Q1,11.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2019-Q2,11.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2019-Q3,11.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2019-Q4,11.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2020-Q1,10.8,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2020-Q2,10.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2020-Q3,11.0,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2020-Q4,11.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2021-Q1,11.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2021-Q2,11.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2021-Q3,11.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,H,Households & NPISHs,,,367,Per cent,0,Units,1,One,Korea - Households and NPISHs,2021-Q4,12.0,F,Free,,A,Normal value
