FREQ,Frequency,BORROWERS_CTY,Borrowers' country,DSR_BORROWERS,Borrowers,COLLECTION,Collection Indicator,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit Multiplier,DECIMALS,Decimals,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_CONF,Observation confidentiality,OBS_PRE_BREAK,OBS_STATUS,Observation Status
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2003-Q1,17.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2003-Q2,17.2,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2003-Q3,16.9,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2003-Q4,16.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2004-Q1,16.1,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2004-Q2,15.7,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2004-Q3,15.5,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2004-Q4,15.3,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2005-Q1,15.6,F,Free,,A,Normal value
Q,Quarterly,KR,Korea,P,Private non-financial sector,,,367,Per cent,0,Units,1,One,Korea - Private non-financial sector,2005-Q2,15.9,F,Free,,A,Normal value
